Capacity,n,BruteForce,BottomUp,TopDown
10,100,0.000,0.249,0.066
20,100,0.000,0.476,0.067
30,100,0.000,0.670,0.082
40,100,0.000,0.865,0.142
50,100,0.000,1.307,0.178
100,100,0.000,2.883,0.439
200,100,0.000,4.480,2.321
300,100,0.000,7.053,7.422
400,100,0.000,9.866,14.673
500,100,0.000,13.833,24.020
600,100,0.000,17.556,34.949
700,100,0.000,23.803,47.074
800,100,0.000,26.310,53.840
900,100,0.000,32.918,66.287
1000,100,0.000,37.601,79.156
1200,100,0.000,49.386,104.331
1400,100,0.000,60.183,126.869
1600,100,0.000,70.437,144.707
1800,100,0.000,82.524,163.463
2000,100,0.000,93.820,185.176
10,200,0.000,0.493,0.126
20,200,0.000,0.920,0.281
30,200,0.000,1.325,0.445
40,200,0.000,1.587,0.637
50,200,0.000,1.983,0.989
100,200,0.000,3.710,3.431
200,200,0.000,8.020,14.236
300,200,0.000,13.591,28.971
400,200,0.000,19.313,46.129
500,200,0.000,27.200,68.420
600,200,0.000,35.753,89.033
700,200,0.000,44.114,111.267
800,200,0.000,53.253,136.272
900,200,0.000,62.314,161.131
1000,200,0.000,74.302,186.337
1200,200,0.000,96.704,234.767
1400,200,0.000,118.448,280.102
1600,200,0.000,143.666,322.680
1800,200,0.000,164.412,371.397
2000,200,0.000,187.272,417.675
10,400,0.000,1.091,0.346
20,400,0.000,1.816,0.921
30,400,0.000,2.367,1.703
40,400,0.000,3.213,4.003
50,400,0.000,3.952,5.458
100,400,0.000,7.835,26.571
200,400,0.000,16.863,74.261
300,400,0.000,28.136,126.839
400,400,0.000,39.820,188.753
500,400,0.000,57.150,252.960
600,400,0.000,69.875,316.286
700,400,0.000,88.243,382.174
800,400,0.000,107.443,455.155
900,400,0.000,126.037,531.481
1000,400,0.000,150.750,608.685
1200,400,0.000,197.339,735.487
1400,400,0.000,241.200,839.766
1600,400,0.000,304.286,931.181
1800,400,0.000,335.343,1036.471
2000,400,0.000,378.822,1133.440
10,500,0.000,1.445,0.442
20,500,0.000,2.091,0.358
30,500,0.000,3.071,1.533
40,500,0.000,3.852,1.657
50,500,0.000,4.774,2.841
100,500,0.000,9.879,22.288
200,500,0.000,21.733,102.975
300,500,0.000,34.080,217.841
400,500,0.000,50.152,316.209
500,500,0.000,68.428,422.574
600,500,0.000,88.534,538.327
700,500,0.000,108.985,656.726
800,500,0.000,134.880,759.715
900,500,0.000,158.984,893.730
1000,500,0.000,187.364,1022.895
1200,500,0.000,262.530,1241.928
1400,500,0.000,306.720,1372.292
1600,500,0.000,367.422,1520.663
1800,500,0.000,468.259,1774.211
2000,500,0.000,510.071,1852.406
